changedFrames,fingerprint,iterations,medianUs,mode,p95Us,pair,phase_build,phase_coverage,phase_layout,phase_paint,phase_semanticDiff,phase_semanticEncode,phase_semanticTree,phase_semantics,scenario,surface,variant
160,1359462507,160,291,all-labels,403,2,15,24,0,7,5,68,63,164,board-16-keyed-false,structured,json
160,1359462507,160,296,reverse,416,2,15,24,1,7,5,68,63,165,board-16-keyed-false,structured,json
160,1359462507,160,411,replace-subtree,539,2,65,24,2,8,5,109,66,208,board-16-keyed-false,structured,json
160,1359462507,160,113,one-label,133,2,20,13,0,6,4,4,32,57,board-16-keyed-true,structured,json
160,1359462507,160,252,all-labels,315,2,28,24,0,6,5,55,31,117,board-16-keyed-true,structured,json
160,1359462507,160,262,reverse,329,2,21,23,0,7,5,74,31,134,board-16-keyed-true,structured,json
160,1359462507,160,342,replace-subtree,437,2,78,24,2,8,5,78,33,144,board-16-keyed-true,structured,json
160,251641503,160,365,one-label,476,2,18,15,0,38,17,5,236,276,board-64-keyed-false,structured,json
160,251641503,160,913,all-labels,1218,2,57,47,0,39,22,261,249,585,board-64-keyed-false,structured,json
160,251641503,160,906,reverse,1140,2,57,46,3,39,21,259,244,578,board-64-keyed-false,structured,json
160,251641503,160,1587,replace-subtree,1863,2,528,47,7,43,24,414,253,752,board-64-keyed-false,structured,json
160,251641503,160,300,one-label,414,2,77,16,0,36,17,4,117,157,board-64-keyed-true,structured,json
160,251641503,160,774,all-labels,988,2,115,47,0,38,20,208,122,404,board-64-keyed-true,structured,json
160,251641503,160,792,reverse,1003,2,85,46,2,39,22,254,121,446,board-64-keyed-true,structured,json
160,251641503,160,1384,replace-subtree,1721,2,581,47,7,44,22,301,133,508,board-64-keyed-true,structured,json
160,251641503,160,1354,one-label,1674,2,77,25,0,136,73,7,974,1086,board-256-keyed-false,structured,json
160,251641503,160,2906,all-labels,3275,2,234,59,0,143,101,1067,999,2289,board-256-keyed-false,structured,json
160,251641503,160,2958,reverse,3422,2,240,58,25,148,101,1073,996,2285,board-256-keyed-false,structured,json
160,251641503,160,10479,replace-subtree,11145,2,6844,60,40,160,109,1853,1046,3132,board-256-keyed-false,structured,json
160,251641503,160,1042,one-label,1379,2,305,24,0,130,67,5,468,570,board-256-keyed-true,structured,json
160,251641503,160,2422,all-labels,2891,2,479,58,0,142,92,825,511,1545,board-256-keyed-true,structured,json
160,251641503,160,1857,reverse,2227,2,353,56,9,139,77,448,487,1081,board-256-keyed-true,structured,json
160,251641503,160,9694,replace-subtree,10703,2,7120,60,45,163,107,1278,546,2025,board-256-keyed-true,structured,json
160,1359462507,160,122,one-label,213,2,6,12,0,6,4,5,59,82,board-16-keyed-false,structured,leaf
160,1359462507,160,284,all-labels,396,2,14,24,0,7,5,67,60,159,board-16-keyed-false,structured,leaf
160,1359462507,160,288,reverse,384,2,15,24,1,7,5,67,60,159,board-16-keyed-false,structured,leaf
160,1359462507,160,394,replace-subtree,517,2,63,24,2,8,5,106,62,202,board-16-keyed-false,structured,leaf
160,1359462507,160,107,one-label,142,2,20,12,0,6,4,4,29,52,board-16-keyed-true,structured,leaf
160,1359462507,160,259,all-labels,396,2,28,24,0,7,5,56,30,119,board-16-keyed-true,structured,leaf
160,1359462507,160,269,reverse,387,2,21,23,0,7,5,75,29,136,board-16-keyed-true,structured,leaf
160,1359462507,160,342,replace-subtree,467,2,78,24,2,8,5,79,31,141,board-16-keyed-true,structured,leaf
160,251641503,160,356,one-label,473,2,18,15,0,37,17,5,228,268,board-64-keyed-false,structured,leaf
160,251641503,160,903,all-labels,1078,2,57,46,0,40,21,259,240,574,board-64-keyed-false,structured,leaf
160,251641503,160,957,reverse,1209,2,62,49,4,42,23,271,248,602,board-64-keyed-false,structured,leaf
160,251641503,160,1616,replace-subtree,1946,2,537,48,7,45,24,424,252,768,board-64-keyed-false,structured,leaf
160,251641503,160,299,one-label,429,2,77,15,0,38,17,5,113,152,board-64-keyed-true,structured,leaf
160,251641503,160,791,all-labels,1030,2,114,46,0,40,20,213,118,403,board-64-keyed-true,structured,leaf
160,251641503,160,817,reverse,1054,2,87,46,2,41,22,264,117,458,board-64-keyed-true,structured,leaf
160,251641503,160,1398,replace-subtree,1689,2,586,46,7,43,22,307,124,509,board-64-keyed-true,structured,leaf
160,251641503,160,1276,one-label,1565,2,76,25,0,133,69,7,914,1018,board-256-keyed-false,structured,leaf
160,251641503,160,2901,all-labels,3347,2,245,60,0,145,99,1081,971,2263,board-256-keyed-false,structured,leaf
160,251641503,160,2975,reverse,3361,2,252,60,25,145,99,1069,999,2269,board-256-keyed-false,structured,leaf
160,251641503,160,10524,replace-subtree,11262,2,6877,60,43,157,108,1863,1014,3100,board-256-keyed-false,structured,leaf
160,251641503,160,1030,one-label,1337,2,304,25,0,130,69,5,451,553,board-256-keyed-true,structured,leaf
160,251641503,160,2356,all-labels,2834,2,478,57,0,138,89,823,477,1488,board-256-keyed-true,structured,leaf
160,251641503,160,1914,reverse,2820,2,371,60,11,146,82,472,480,1109,board-256-keyed-true,structured,leaf
160,251641503,160,9656,replace-subtree,10612,2,7122,59,41,158,105,1274,516,1982,board-256-keyed-true,structured,leaf
