scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-256-keyed-true,reverse,160,2004,2513,160,structured,251641503,0,after,363,10,140,1232,499,59,83,573
board-256-keyed-true,replace-subtree,160,10210,11177,160,structured,251641503,0,after,7369,50,167,2302,558,62,113,1551
dashboard,mount-first-frame,160,436,556,160,terminal,,1,after,,,,,,,,
agent,mount-first-frame,160,149,261,160,terminal,,1,after,,,,,,,,
files,mount-first-frame,160,315,538,160,terminal,,1,after,,,,,,,,
editor,mount-first-frame,160,142,209,160,terminal,,1,after,,,,,,,,
finance,mount-first-frame,160,482,735,160,terminal,,1,after,,,,,,,,
board-16-keyed-false,one-label,160,33,57,160,terminal,1359462507,1,after,6,0,7,0,0,0,0,0
board-16-keyed-false,all-labels,160,42,54,160,terminal,1359462507,1,after,14,0,7,0,0,0,0,0
board-16-keyed-false,reverse,160,44,64,160,terminal,1359462507,1,after,15,1,7,0,0,0,0,0
board-16-keyed-false,replace-subtree,160,106,171,160,terminal,1359462507,1,after,64,2,8,0,0,0,0,0
board-16-keyed-true,one-label,160,47,57,160,terminal,1359462507,1,after,20,0,7,0,0,0,0,0
board-16-keyed-true,all-labels,160,55,58,160,terminal,1359462507,1,after,28,0,7,0,0,0,0,0
board-16-keyed-true,reverse,160,51,72,160,terminal,1359462507,1,after,22,0,7,0,0,0,0,0
board-16-keyed-true,replace-subtree,160,122,188,160,terminal,1359462507,1,after,78,2,8,0,0,0,0,0
board-64-keyed-false,one-label,160,80,96,160,terminal,251641503,1,after,18,0,38,0,0,0,0,0
board-64-keyed-false,all-labels,160,120,156,160,terminal,251641503,1,after,56,0,39,0,0,0,0,0
board-64-keyed-false,reverse,160,124,164,160,terminal,251641503,1,after,56,3,40,0,0,0,0,0
board-64-keyed-false,replace-subtree,160,610,861,160,terminal,251641503,1,after,530,7,44,0,0,0,0,0
board-64-keyed-true,one-label,160,143,173,160,terminal,251641503,1,after,81,0,39,0,0,0,0,0
board-64-keyed-true,all-labels,160,181,261,160,terminal,251641503,1,after,117,0,40,0,0,0,0,0
board-64-keyed-true,reverse,160,157,204,160,terminal,251641503,1,after,88,2,40,0,0,0,0,0
board-64-keyed-true,replace-subtree,160,682,993,160,terminal,251641503,1,after,604,8,45,0,0,0,0,0
board-256-keyed-false,one-label,160,256,325,160,terminal,251641503,1,after,82,0,148,0,0,0,0,0
board-256-keyed-false,all-labels,160,388,553,160,terminal,251641503,1,after,223,0,139,0,0,0,0,0
board-256-keyed-false,reverse,160,424,534,160,terminal,251641503,1,after,225,24,141,0,0,0,0,0
board-256-keyed-false,replace-subtree,160,8207,11515,160,terminal,251641503,1,after,7828,60,185,0,0,0,0,0
board-256-keyed-true,one-label,160,513,1713,160,terminal,251641503,1,after,340,0,142,0,0,0,0,0
board-256-keyed-true,all-labels,160,668,1738,160,terminal,251641503,1,after,491,0,145,0,0,0,0,0
board-256-keyed-true,reverse,160,597,1670,160,terminal,251641503,1,after,382,11,152,0,0,0,0,0
board-256-keyed-true,replace-subtree,160,8758,12305,160,terminal,251641503,1,after,8377,82,207,0,0,0,0,0
dashboard,mount-first-frame,160,523,792,160,terminal,,1,base,,,,,,,,
agent,mount-first-frame,160,188,371,160,terminal,,1,base,,,,,,,,
files,mount-first-frame,160,379,727,160,terminal,,1,base,,,,,,,,
editor,mount-first-frame,160,158,247,160,terminal,,1,base,,,,,,,,
finance,mount-first-frame,160,606,1074,160,terminal,,1,base,,,,,,,,
board-16-keyed-false,one-label,160,41,43,160,terminal,1359462507,1,base,14,0,7,0,0,0,0,0
board-16-keyed-false,all-labels,160,169,326,160,terminal,1359462507,1,base,141,0,7,0,0,0,0,0
board-16-keyed-false,reverse,160,174,330,160,terminal,1359462507,1,base,143,1,8,0,0,0,0,0
board-16-keyed-false,replace-subtree,160,170,338,160,terminal,1359462507,1,base,125,1,9,0,0,0,0,0
board-16-keyed-true,one-label,160,52,58,160,terminal,1359462507,1,base,24,0,7,0,0,0,0,0
