surface,subscribers,notifications,iterations,medianUs,p95Us,notifyMedianUs,buildMedianUs,changedFrames,subscriberBuilds,semanticFrames,semanticBytes,fingerprint,pair,version,binarySha256
structured,16,8,1000,185,220,1,15,1000,16000,1000,3556000,4094339220,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,16,64,1000,192,232,8,15,1000,16000,1000,3556000,4094339220,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,64,1,1000,668,817,3,58,1000,64000,1000,14208000,1506002656,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,64,8,1000,670,808,5,58,1000,64000,1000,14208000,1506002656,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,64,64,1000,697,849,28,59,1000,64000,1000,14208000,1506002656,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,128,1,1000,1365,1652,6,120,1000,128000,1000,28520000,622371159,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,128,8,1000,1364,1657,11,119,1000,128000,1000,28520000,622371159,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
structured,128,64,1000,1430,1733,54,129,1000,128000,1000,28520000,622371159,3,base,b8700cd2b75e4efe1131fd5664b5177e01e15d0a45269cedeb5c274012fc793b
terminal,16,1,1000,42,61,0,16,1000,16000,0,0,4094339220,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,8,1000,42,60,0,16,1000,16000,0,0,4094339220,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,16,64,1000,43,63,0,16,1000,16000,0,0,4094339220,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,1,1000,117,146,0,64,1000,64000,0,0,1506002656,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,8,1000,117,149,0,64,1000,64000,0,0,1506002656,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,64,64,1000,118,243,0,64,1000,64000,0,0,1506002656,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,1,1000,227,308,0,128,1000,128000,0,0,622371159,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,8,1000,224,285,0,127,1000,128000,0,0,622371159,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
terminal,128,64,1000,226,277,0,127,1000,128000,0,0,622371159,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,1,1000,185,223,0,17,1000,16000,1000,3556000,4094339220,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,8,1000,185,232,0,16,1000,16000,1000,3556000,4094339220,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,16,64,1000,187,228,0,17,1000,16000,1000,3556000,4094339220,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,1,1000,677,851,0,65,1000,64000,1000,14208000,1506002656,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,8,1000,671,805,0,64,1000,64000,1000,14208000,1506002656,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,64,64,1000,678,871,1,65,1000,64000,1000,14208000,1506002656,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,1,1000,1369,1660,0,133,1000,128000,1000,28392000,622371159,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,8,1000,1375,1689,0,133,1000,128000,1000,28520000,622371159,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
structured,128,64,1000,1416,2696,1,140,1000,128000,1000,28392000,622371159,3,candidate,4091cf229524f0c66ebb9200cfe37dacd5cee75e1ce622a313f0c12609785dbd
