scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,suite,args,phasesUs,app,p99Us,plans,semanticFrames,semanticBytes,nodes,changedSnapshots
board-64-keyed-true,reverse,500,153,225,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":85,""coverage"":0,""layout"":2,""paint"":38,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-64-keyed-true,replace-subtree,500,358,498,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":283,""coverage"":0,""layout"":5,""paint"":43,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-false,one-label,500,225,281,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":71,""coverage"":0,""layout"":0,""paint"":128,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-false,all-labels,500,375,488,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":214,""coverage"":0,""layout"":0,""paint"":132,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-false,reverse,500,423,550,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":227,""coverage"":0,""layout"":23,""paint"":136,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-false,replace-subtree,500,2284,2884,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":2057,""coverage"":0,""layout"":26,""paint"":150,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-true,one-label,500,468,720,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":311,""coverage"":0,""layout"":0,""paint"":129,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-true,all-labels,500,607,891,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":446,""coverage"":0,""layout"":0,""paint"":132,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-true,reverse,500,528,775,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":345,""coverage"":0,""layout"":9,""paint"":134,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-256-keyed-true,replace-subtree,500,2530,3298,500,terminal,251641503,1,candidate,core,"[""500""]","{""build"":2308,""coverage"":0,""layout"":26,""paint"":152,""semanticDiff"":0,""semanticEncode"":0,""semanticTree"":0,""semantics"":0}",,,,,,,
board-16-keyed-false,one-label,500,88,148,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":5,""coverage"":12,""layout"":0,""paint"":6,""semanticDiff"":4,""semanticEncode"":5,""semanticTree"":27,""semantics"":49}",,,,,,,
board-16-keyed-false,all-labels,500,256,350,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":14,""coverage"":24,""layout"":0,""paint"":7,""semanticDiff"":5,""semanticEncode"":67,""semanticTree"":29,""semantics"":129}",,,,,,,
board-16-keyed-false,reverse,500,261,351,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":15,""coverage"":24,""layout"":1,""paint"":7,""semanticDiff"":5,""semanticEncode"":68,""semanticTree"":29,""semantics"":131}",,,,,,,
board-16-keyed-false,replace-subtree,500,348,453,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":46,""coverage"":24,""layout"":1,""paint"":8,""semanticDiff"":5,""semanticEncode"":107,""semanticTree"":33,""semantics"":174}",,,,,,,
board-16-keyed-true,one-label,500,100,132,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":19,""coverage"":12,""layout"":0,""paint"":7,""semanticDiff"":4,""semanticEncode"":4,""semanticTree"":24,""semantics"":47}",,,,,,,
board-16-keyed-true,all-labels,500,249,321,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":28,""coverage"":24,""layout"":0,""paint"":7,""semanticDiff"":5,""semanticEncode"":55,""semanticTree"":25,""semantics"":111}",,,,,,,
board-16-keyed-true,reverse,500,265,334,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":22,""coverage"":24,""layout"":0,""paint"":7,""semanticDiff"":5,""semanticEncode"":75,""semanticTree"":25,""semantics"":131}",,,,,,,
board-16-keyed-true,replace-subtree,500,318,420,500,structured,1359462507,1,base,core,"[""500"",""structured""]","{""build"":59,""coverage"":24,""layout"":1,""paint"":8,""semanticDiff"":5,""semanticEncode"":77,""semanticTree"":28,""semantics"":135}",,,,,,,
board-64-keyed-false,one-label,500,219,290,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":19,""coverage"":15,""layout"":0,""paint"":37,""semanticDiff"":17,""semanticEncode"":5,""semanticTree"":88,""semantics"":129}",,,,,,,
board-64-keyed-false,all-labels,500,757,947,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":57,""coverage"":47,""layout"":0,""paint"":39,""semanticDiff"":21,""semanticEncode"":262,""semanticTree"":97,""semantics"":435}",,,,,,,
board-64-keyed-false,reverse,500,750,951,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":56,""coverage"":47,""layout"":3,""paint"":39,""semanticDiff"":21,""semanticEncode"":260,""semanticTree"":95,""semantics"":430}",,,,,,,
board-64-keyed-false,replace-subtree,500,1130,1435,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":247,""coverage"":47,""layout"":5,""paint"":43,""semanticDiff"":22,""semanticEncode"":418,""semanticTree"":116,""semantics"":605}",,,,,,,
board-64-keyed-true,one-label,500,272,384,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":79,""coverage"":15,""layout"":0,""paint"":38,""semanticDiff"":17,""semanticEncode"":5,""semanticTree"":81,""semantics"":120}",,,,,,,
board-64-keyed-true,all-labels,500,755,952,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":115,""coverage"":47,""layout"":0,""paint"":39,""semanticDiff"":20,""semanticEncode"":216,""semanticTree"":84,""semantics"":373}",,,,,,,
board-64-keyed-true,reverse,500,805,1102,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":92,""coverage"":49,""layout"":2,""paint"":42,""semanticDiff"":24,""semanticEncode"":271,""semanticTree"":87,""semantics"":436}",,,,,,,
board-64-keyed-true,replace-subtree,500,1055,1406,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":310,""coverage"":47,""layout"":5,""paint"":44,""semanticDiff"":22,""semanticEncode"":305,""semanticTree"":103,""semantics"":479}",,,,,,,
board-256-keyed-false,one-label,500,679,887,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":70,""coverage"":24,""layout"":0,""paint"":130,""semanticDiff"":70,""semanticEncode"":5,""semanticTree"":341,""semantics"":446}",,,,,,,
board-256-keyed-false,all-labels,500,2241,2581,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":235,""coverage"":58,""layout"":0,""paint"":138,""semanticDiff"":96,""semanticEncode"":1066,""semanticTree"":384,""semantics"":1629}",,,,,,,
board-256-keyed-false,reverse,500,2388,3858,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":252,""coverage"":60,""layout"":26,""paint"":148,""semanticDiff"":102,""semanticEncode"":1109,""semanticTree"":406,""semantics"":1698}",,,,,,,
board-256-keyed-false,replace-subtree,500,5360,6874,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":2226,""coverage"":62,""layout"":37,""paint"":168,""semanticDiff"":113,""semanticEncode"":1912,""semanticTree"":487,""semantics"":2605}",,,,,,,
board-256-keyed-true,one-label,500,914,1277,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":319,""coverage"":26,""layout"":0,""paint"":134,""semanticDiff"":72,""semanticEncode"":5,""semanticTree"":312,""semantics"":419}",,,,,,,
board-256-keyed-true,all-labels,500,2244,2744,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":484,""coverage"":58,""layout"":0,""paint"":145,""semanticDiff"":94,""semanticEncode"":844,""semanticTree"":339,""semantics"":1360}",,,,,,,
board-256-keyed-true,reverse,500,1722,2195,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":365,""coverage"":59,""layout"":9,""paint"":144,""semanticDiff"":83,""semanticEncode"":463,""semanticTree"":324,""semantics"":939}",,,,,,,
board-256-keyed-true,replace-subtree,500,4862,5728,500,structured,251641503,1,base,core,"[""500"",""structured""]","{""build"":2513,""coverage"":59,""layout"":28,""paint"":157,""semanticDiff"":102,""semanticEncode"":1288,""semanticTree"":401,""semantics"":1870}",,,,,,,
board-16-keyed-false,one-label,500,90,156,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":5,""coverage"":12,""layout"":0,""paint"":7,""semanticDiff"":4,""semanticEncode"":5,""semanticTree"":27,""semantics"":50}",,,,,,,
board-16-keyed-false,all-labels,500,262,354,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":15,""coverage"":24,""layout"":0,""paint"":7,""semanticDiff"":5,""semanticEncode"":69,""semanticTree"":30,""semantics"":133}",,,,,,,
board-16-keyed-false,reverse,500,261,350,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":15,""coverage"":24,""layout"":1,""paint"":7,""semanticDiff"":5,""semanticEncode"":68,""semanticTree"":29,""semantics"":130}",,,,,,,
board-16-keyed-false,replace-subtree,500,346,460,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":42,""coverage"":24,""layout"":1,""paint"":8,""semanticDiff"":5,""semanticEncode"":109,""semanticTree"":34,""semantics"":177}",,,,,,,
board-16-keyed-true,one-label,500,99,126,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":19,""coverage"":12,""layout"":0,""paint"":7,""semanticDiff"":4,""semanticEncode"":4,""semanticTree"":24,""semantics"":47}",,,,,,,
board-16-keyed-true,all-labels,500,255,326,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":28,""coverage"":24,""layout"":0,""paint"":7,""semanticDiff"":5,""semanticEncode"":57,""semanticTree"":26,""semantics"":115}",,,,,,,
board-16-keyed-true,reverse,500,272,345,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":22,""coverage"":24,""layout"":0,""paint"":7,""semanticDiff"":5,""semanticEncode"":78,""semanticTree"":25,""semantics"":137}",,,,,,,
board-16-keyed-true,replace-subtree,500,317,425,500,structured,1359462507,1,candidate,core,"[""500"",""structured""]","{""build"":55,""coverage"":24,""layout"":1,""paint"":8,""semanticDiff"":5,""semanticEncode"":80,""semanticTree"":28,""semantics"":139}",,,,,,,
board-64-keyed-false,one-label,500,219,309,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":18,""coverage"":15,""layout"":0,""paint"":37,""semanticDiff"":17,""semanticEncode"":5,""semanticTree"":90,""semantics"":131}",,,,,,,
board-64-keyed-false,all-labels,500,750,943,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":54,""coverage"":46,""layout"":0,""paint"":38,""semanticDiff"":21,""semanticEncode"":260,""semanticTree"":97,""semantics"":432}",,,,,,,
board-64-keyed-false,reverse,500,771,951,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":57,""coverage"":47,""layout"":3,""paint"":39,""semanticDiff"":21,""semanticEncode"":267,""semanticTree"":98,""semantics"":441}",,,,,,,
board-64-keyed-false,replace-subtree,500,1113,1356,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":227,""coverage"":47,""layout"":5,""paint"":43,""semanticDiff"":21,""semanticEncode"":422,""semanticTree"":116,""semantics"":606}",,,,,,,
board-64-keyed-true,one-label,500,270,351,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":79,""coverage"":15,""layout"":0,""paint"":37,""semanticDiff"":17,""semanticEncode"":5,""semanticTree"":79,""semantics"":119}",,,,,,,
board-64-keyed-true,all-labels,500,751,945,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":115,""coverage"":47,""layout"":0,""paint"":39,""semanticDiff"":20,""semanticEncode"":215,""semanticTree"":83,""semantics"":372}",,,,,,,
board-64-keyed-true,reverse,500,791,992,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":88,""coverage"":47,""layout"":2,""paint"":40,""semanticDiff"":22,""semanticEncode"":268,""semanticTree"":83,""semantics"":426}",,,,,,,
board-64-keyed-true,replace-subtree,500,1045,1349,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":298,""coverage"":47,""layout"":5,""paint"":44,""semanticDiff"":21,""semanticEncode"":307,""semanticTree"":100,""semantics"":479}",,,,,,,
board-256-keyed-false,one-label,500,685,836,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":69,""coverage"":24,""layout"":0,""paint"":130,""semanticDiff"":68,""semanticEncode"":5,""semanticTree"":347,""semantics"":449}",,,,,,,
board-256-keyed-false,all-labels,500,2272,2614,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":231,""coverage"":59,""layout"":0,""paint"":140,""semanticDiff"":95,""semanticEncode"":1085,""semanticTree"":394,""semantics"":1659}",,,,,,,
board-256-keyed-false,reverse,500,2332,2625,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":237,""coverage"":58,""layout"":25,""paint"":145,""semanticDiff"":95,""semanticEncode"":1086,""semanticTree"":394,""semantics"":1657}",,,,,,,
board-256-keyed-false,replace-subtree,500,5130,5800,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":2137,""coverage"":59,""layout"":28,""paint"":155,""semanticDiff"":101,""semanticEncode"":1879,""semanticTree"":470,""semantics"":2515}",,,,,,,
board-256-keyed-true,one-label,500,898,1219,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":316,""coverage"":25,""layout"":0,""paint"":133,""semanticDiff"":71,""semanticEncode"":5,""semanticTree"":308,""semantics"":413}",,,,,,,
board-256-keyed-true,all-labels,500,2255,2733,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":479,""coverage"":59,""layout"":0,""paint"":142,""semanticDiff"":94,""semanticEncode"":849,""semanticTree"":340,""semantics"":1376}",,,,,,,
board-256-keyed-true,reverse,500,1717,2123,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":360,""coverage"":59,""layout"":10,""paint"":141,""semanticDiff"":81,""semanticEncode"":470,""semanticTree"":322,""semantics"":950}",,,,,,,
board-256-keyed-true,replace-subtree,500,4727,5590,500,structured,251641503,1,candidate,core,"[""500"",""structured""]","{""build"":2388,""coverage"":59,""layout"":28,""paint"":156,""semanticDiff"":101,""semanticEncode"":1297,""semanticTree"":400,""semantics"":1869}",,,,,,,
,ignored-key,1000,623,771,,,1009535925,1,base,input,"[""1000""]",,dashboard,892,0,0,0,378,0
,pointer-idle,1000,629,789,,,1009535925,1,base,input,"[""1000""]",,dashboard,919,0,0,0,378,0
,tab,1000,623,777,,,1009535925,1,base,input,"[""1000""]",,dashboard,886,0,0,0,378,0
,ignored-key,1000,280,393,,,1443703781,1,base,input,"[""1000""]",,files,449,0,0,0,179,0
,pointer-idle,1000,283,384,,,1443703781,1,base,input,"[""1000""]",,files,486,0,0,0,179,0
,tab,1000,282,397,,,1443703781,1,base,input,"[""1000""]",,files,480,0,0,0,179,0
,selection,1000,452,606,,,518885909,1,base,input,"[""1000""]",,files,748,1000,1000,1533000,179,1000
,ignored-key,1000,182,254,,,2474313173,1,base,input,"[""1000""]",,forms,386,1,0,0,86,0
,pointer-idle,1000,179,252,,,2474313173,1,base,input,"[""1000""]",,forms,342,1,0,0,86,0
,tab,1000,489,643,,,2347066757,1,base,input,"[""1000""]",,forms,753,1000,1000,1634000,86,1000
,typing,1000,434,562,,,2461209369,1,base,input,"[""1000""]",,forms,669,1002,1000,844500,86,1000
,ignored-key,1000,618,806,,,1009535925,1,candidate,input,"[""1000""]",,dashboard,1164,0,0,0,378,0
,pointer-idle,1000,630,826,,,1009535925,1,candidate,input,"[""1000""]",,dashboard,965,0,0,0,378,0
,tab,1000,633,858,,,1009535925,1,candidate,input,"[""1000""]",,dashboard,2130,0,0,0,378,0
,ignored-key,1000,278,399,,,1443703781,1,candidate,input,"[""1000""]",,files,482,0,0,0,179,0
,pointer-idle,1000,278,392,,,1443703781,1,candidate,input,"[""1000""]",,files,490,0,0,0,179,0
,tab,1000,273,362,,,1443703781,1,candidate,input,"[""1000""]",,files,425,0,0,0,179,0
,selection,1000,434,567,,,518885909,1,candidate,input,"[""1000""]",,files,654,1000,1000,1533000,179,1000
,ignored-key,1000,181,389,,,2474313173,1,candidate,input,"[""1000""]",,forms,1055,1,0,0,86,0
,pointer-idle,1000,175,232,,,2474313173,1,candidate,input,"[""1000""]",,forms,305,1,0,0,86,0
,tab,1000,474,592,,,2347066757,1,candidate,input,"[""1000""]",,forms,668,1000,1000,1634000,86,1000
,typing,1000,422,528,,,2461209369,1,candidate,input,"[""1000""]",,forms,618,1001,1000,844500,86,1000
dashboard,mount-first-frame,500,645,824,500,terminal,,2,candidate,core,"[""500""]",,,,,,,,
agent,mount-first-frame,500,169,225,500,terminal,,2,candidate,core,"[""500""]",,,,,,,,
