stage,variant,run,kind,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
runs,compact,1,plain,1000,rebuild-equal,60,0,0,1830451483,81,93
runs,compact,1,plain,1000,edit,60,60,0,37686951,2953,3163
runs,compact,1,plain,1000,resize,60,60,0,1830451483,2062,2278
runs,compact,1,plain,1000,drag,60,60,0,1797951353,106,118
runs,compact,1,plain,1000,copy,60,0,16730,4053437227,144,168
runs,runs,0,rich,1000,open,60,60,0,3858414627,10723,12701
runs,runs,0,rich,1000,rebuild-same,60,0,0,3858414627,106,134
runs,runs,0,rich,1000,rebuild-equal,60,0,0,3858414627,107,124
runs,runs,0,rich,1000,edit,60,60,0,2284405263,11267,13591
runs,runs,0,rich,1000,resize,60,60,0,3858414627,5894,6862
runs,runs,0,rich,1000,drag,60,60,0,3831988741,124,140
runs,runs,0,rich,1000,copy,60,0,16730,2752129767,182,208
runs,runs,1,rich,1000,open,60,60,0,3858414627,10002,11784
runs,runs,1,rich,1000,rebuild-same,60,0,0,3858414627,101,128
runs,runs,1,rich,1000,rebuild-equal,60,0,0,3858414627,103,124
runs,runs,1,rich,1000,edit,60,60,0,2284405263,10894,13791
runs,runs,1,rich,1000,resize,60,60,0,3858414627,5793,6401
runs,runs,1,rich,1000,drag,60,60,0,3831988741,123,135
runs,runs,1,rich,1000,copy,60,0,16730,2752129767,160,278
runs,runs,0,spans,1000,open,60,60,0,2232575019,11214,13247
runs,runs,0,spans,1000,rebuild-same,60,0,0,2232575019,141,150
runs,runs,0,spans,1000,rebuild-equal,60,0,0,2232575019,152,561
runs,runs,0,spans,1000,edit,60,60,0,4052510319,11735,15016
runs,runs,0,spans,1000,resize,60,60,0,2232575019,6154,6711
runs,runs,0,spans,1000,drag,60,60,0,2618650863,130,159
runs,runs,0,spans,1000,copy,60,0,16730,619799109,173,220
runs,runs,1,spans,1000,open,60,60,0,2232575019,10789,12950
runs,runs,1,spans,1000,rebuild-same,60,0,0,2232575019,130,225
runs,runs,1,spans,1000,rebuild-equal,60,0,0,2232575019,137,209
runs,runs,1,spans,1000,edit,60,60,0,4052510319,12439,18060
runs,runs,1,spans,1000,resize,60,60,0,2232575019,6004,6579
runs,runs,1,spans,1000,drag,60,60,0,2618650863,125,148
runs,runs,1,spans,1000,copy,60,0,16730,619799109,159,177
runs,runs,0,plain,1000,open,60,60,0,1830451483,2975,3317
runs,runs,0,plain,1000,rebuild-same,60,0,0,1830451483,79,95
runs,runs,0,plain,1000,rebuild-equal,60,0,0,1830451483,77,107
runs,runs,0,plain,1000,edit,60,60,0,37686951,2772,2990
runs,runs,0,plain,1000,resize,60,60,0,1830451483,1964,2170
runs,runs,0,plain,1000,drag,60,60,0,1797951353,103,110
runs,runs,0,plain,1000,copy,60,0,16730,4053437227,139,177
runs,runs,1,plain,1000,open,60,60,0,1830451483,2965,3144
runs,runs,1,plain,1000,rebuild-same,60,0,0,1830451483,86,110
runs,runs,1,plain,1000,rebuild-equal,60,0,0,1830451483,82,98
runs,runs,1,plain,1000,edit,60,60,0,37686951,2902,3168
runs,runs,1,plain,1000,resize,60,60,0,1830451483,2042,2273
runs,runs,1,plain,1000,drag,60,60,0,1797951353,114,144
runs,runs,1,plain,1000,copy,60,0,16730,4053437227,143,161
hash-sharing-trial,runs,0,rich,1000,open,60,60,0,3858414627,10017,11896
hash-sharing-trial,runs,0,rich,1000,rebuild-same,60,0,0,3858414627,102,119
hash-sharing-trial,runs,0,rich,1000,rebuild-equal,60,0,0,3858414627,98,122
hash-sharing-trial,runs,0,rich,1000,edit,60,60,0,2284405263,10962,14233
hash-sharing-trial,runs,0,rich,1000,resize,60,60,0,3858414627,5739,6297
hash-sharing-trial,runs,0,rich,1000,drag,60,60,0,3831988741,126,144
hash-sharing-trial,runs,0,rich,1000,copy,60,0,16730,2752129767,162,236
hash-sharing-trial,runs,1,rich,1000,open,60,60,0,3858414627,10399,12004
hash-sharing-trial,runs,1,rich,1000,rebuild-same,60,0,0,3858414627,96,123
hash-sharing-trial,runs,1,rich,1000,rebuild-equal,60,0,0,3858414627,98,123
hash-sharing-trial,runs,1,rich,1000,edit,60,60,0,2284405263,11024,13246
hash-sharing-trial,runs,1,rich,1000,resize,60,60,0,3858414627,5788,6390
hash-sharing-trial,runs,1,rich,1000,drag,60,60,0,3831988741,124,131
hash-sharing-trial,runs,1,rich,1000,copy,60,0,16730,2752129767,161,265
hash-sharing-trial,runs,0,spans,1000,open,60,60,0,2232575019,10288,11779
hash-sharing-trial,runs,0,spans,1000,rebuild-same,60,0,0,2232575019,131,165
hash-sharing-trial,runs,0,spans,1000,rebuild-equal,60,0,0,2232575019,136,176
hash-sharing-trial,runs,0,spans,1000,edit,60,60,0,4052510319,10584,13880
hash-sharing-trial,runs,0,spans,1000,resize,60,60,0,2232575019,5785,6382
hash-sharing-trial,runs,0,spans,1000,drag,60,60,0,2618650863,125,145
hash-sharing-trial,runs,0,spans,1000,copy,60,0,16730,619799109,155,172
hash-sharing-trial,runs,1,spans,1000,open,60,60,0,2232575019,10209,11781
hash-sharing-trial,runs,1,spans,1000,rebuild-same,60,0,0,2232575019,131,151
hash-sharing-trial,runs,1,spans,1000,rebuild-equal,60,0,0,2232575019,140,295
hash-sharing-trial,runs,1,spans,1000,edit,60,60,0,4052510319,10746,14559
hash-sharing-trial,runs,1,spans,1000,resize,60,60,0,2232575019,5721,6339
hash-sharing-trial,runs,1,spans,1000,drag,60,60,0,2618650863,124,137
hash-sharing-trial,runs,1,spans,1000,copy,60,0,16730,619799109,158,202
