scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
board-64-keyed-true,reverse,300,150,179,300,terminal,251641503,0,candidate,"{""build"": 84, ""coverage"": 0, ""layout"": 2, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,replace-subtree,300,377,1475,300,terminal,251641503,0,candidate,"{""build"": 299, ""coverage"": 0, ""layout"": 5, ""paint"": 43, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,one-label,300,225,313,300,terminal,251641503,0,candidate,"{""build"": 71, ""coverage"": 0, ""layout"": 0, ""paint"": 130, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,all-labels,300,363,449,300,terminal,251641503,0,candidate,"{""build"": 208, ""coverage"": 0, ""layout"": 0, ""paint"": 130, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,reverse,300,403,526,300,terminal,251641503,0,candidate,"{""build"": 213, ""coverage"": 0, ""layout"": 23, ""paint"": 135, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,replace-subtree,300,2272,2930,300,terminal,251641503,0,candidate,"{""build"": 2053, ""coverage"": 0, ""layout"": 25, ""paint"": 148, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,one-label,300,456,697,300,terminal,251641503,0,candidate,"{""build"": 303, ""coverage"": 0, ""layout"": 0, ""paint"": 126, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,all-labels,300,596,849,300,terminal,251641503,0,candidate,"{""build"": 438, ""coverage"": 0, ""layout"": 0, ""paint"": 130, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,reverse,300,506,719,300,terminal,251641503,0,candidate,"{""build"": 333, ""coverage"": 0, ""layout"": 8, ""paint"": 128, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,replace-subtree,300,2620,3327,300,terminal,251641503,0,candidate,"{""build"": 2390, ""coverage"": 0, ""layout"": 26, ""paint"": 150, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
dashboard,mount-first-frame,300,497,678,300,terminal,,1,candidate,
agent,mount-first-frame,300,177,233,300,terminal,,1,candidate,
