pair,scenario,version,requestedSteps,capturedFrames,activeFrames,traceCallbacks,callbackP50Ms,callbackP95Ms,callbackMaxMs,browserP50Ms,browserP95Ms,browserMaxMs,appP50Ms,appP95Ms,semanticFlushP50Ms,semanticFlushP95Ms,rowsReplaced,domNodesCreated,semanticUncoveredCells,loadBefore1m,loadAfter1m
2,single-dirty-cell-160x50,candidate,100,100,100,131,0.961,1.481,2.507,1.508,1.929,2.446,0.799,1.499,1,1.301,100,100,0,5.6015625,5.763671875
2,text-input-burst-80x24,base,100,200,100,260,0.314,1.954,3.257,0.548,1.609,38.842,0,1.201,0.7,0.9,100,245,0,8.0673828125,7.294921875
2,text-input-burst-80x24,candidate,100,200,100,260,0.273,1.908,3.592,0.509,1.645,41.304,0,1.3,0.7,0.901,100,245,0,6.705078125,8.0673828125
3,cursor-blink-80x24,base,100,100,100,131,1.42,2.126,3.412,1.26,1.538,1.663,1.1,1.5,0.6,0.8,200,300,0,6.013671875,6.3779296875
3,cursor-blink-80x24,candidate,100,100,100,130,1.358,2.488,3.134,1.257,1.583,27.985,1.199,2.101,0.601,0.801,200,300,0,6.3779296875,7.35498046875
3,full-frame-churn-160x50,base,100,100,100,130,3.197,4.283,4.981,3.042,3.678,28.414,2.7,3.601,1.101,1.4,5000,5000,0,5.99072265625,7.3662109375
3,full-frame-churn-160x50,candidate,100,100,100,131,3.318,4.164,4.965,3.044,3.622,23.973,2.798,3.6,1.101,1.4,5000,5000,0,7.3662109375,8.09716796875
3,noop-160x50,base,100,100,0,131,0.179,0.416,0.62,0.017,0.034,20.397,0,0,0,0,0,0,0,7.35498046875,6.85107421875
3,noop-160x50,candidate,100,100,0,131,0.107,0.254,0.554,0.016,0.03,19.471,0,0,0,0,0,0,0,6.85107421875,5.99072265625
3,normal-80x24,base,100,100,100,130,1.407,2.344,3.169,1.413,1.988,29.68,1.099,1.899,0.7,1,2000,2000,0,5.0986328125,4.8427734375
3,normal-80x24,candidate,100,100,100,131,1.201,2.027,3.23,1.172,2.048,19.76,0.901,1.601,0.6,0.901,2000,2000,0,4.8427734375,5.0244140625
3,resize-burst,base,100,300,200,389,1.321,2.508,2.972,1.004,1.956,49.627,0.599,1.299,0.7,0.9,5700,5850,0,8.09716796875,7.470703125
3,resize-burst,candidate,100,300,200,389,1.091,2.249,2.935,0.844,1.829,52.572,0.401,1.199,0.6,0.9,5700,5850,0,7.470703125,6.95947265625
3,single-dirty-cell-160x50,base,100,100,100,131,1.085,2.282,2.801,1.623,2.109,27.157,0.8,1.6,1.1,1.4,100,100,0,5.0244140625,4.9931640625
3,single-dirty-cell-160x50,candidate,100,100,100,130,1.023,1.669,2.066,1.565,1.874,28.148,0.9,1.1,1.1,1.3,100,100,0,4.9931640625,5.234375
3,text-input-burst-80x24,base,100,200,100,261,0.541,2.396,3.092,0.596,1.652,39.511,0,1.4,0.7,0.9,100,245,0,5.234375,6.5556640625
