app,mode,renderObjects,leafRenderObjectIndex,changedFrames,probe,variant,run,columns,rows,totalUs_median,totalUs_p95,buildUs_median,buildUs_p95,layoutUs_median,layoutUs_p95,paintUs_median,paintUs_p95,bufferPrepareUs_median,bufferPrepareUs_p95,finishUs_median,finishUs_p95
files,full,152,11,0,frame,after,0,120,40,175,933,0,0,27,175,77,395,5,16,34,91
editor,clean,42,20,0,frame,after,0,120,40,71,211,0,0,0,0,41,133,5,22,24,63
editor,leaf,42,20,600,frame,after,0,120,40,72,253,0,0,0,0,41,148,5,20,24,61
editor,full,42,20,0,frame,after,0,120,40,84,348,0,0,8,27,41,156,5,18,24,63
finance,clean,283,12,0,frame,after,0,120,40,244,819,0,0,0,0,165,606,5,14,71,195
finance,leaf,283,12,600,frame,after,0,120,40,245,789,0,0,0,0,164,540,5,13,71,187
finance,full,283,12,0,frame,after,0,120,40,300,1142,0,0,18,87,166,775,5,11,71,177
dashboard,clean,144,11,0,frame,base,0,200,60,486,2869,0,0,0,0,337,2142,14,37,123,543
dashboard,leaf,144,11,600,frame,base,0,200,60,497,2707,0,0,0,0,342,2114,14,37,123,537
dashboard,full,144,11,0,frame,base,0,200,60,541,3671,0,0,16,70,341,2628,14,37,124,629
agent,clean,67,12,0,frame,base,0,200,60,149,472,0,0,0,0,81,253,13,36,54,151
agent,leaf,67,12,600,frame,base,0,200,60,151,564,0,0,0,0,80,289,13,35,54,151
agent,full,67,12,0,frame,base,0,200,60,170,643,0,0,4,27,90,374,13,36,54,185
files,clean,152,11,0,frame,base,0,200,60,177,653,0,0,0,0,97,339,13,37,64,171
files,leaf,152,11,600,frame,base,0,200,60,179,783,0,0,0,0,97,397,13,36,64,193
files,full,152,11,0,frame,base,0,200,60,244,1085,0,0,27,131,119,588,13,35,65,174
editor,clean,42,20,0,frame,base,0,200,60,141,635,0,0,0,0,78,373,13,52,48,219
editor,leaf,42,20,600,frame,base,0,200,60,144,582,0,0,0,0,78,311,13,57,48,211
editor,full,42,20,0,frame,base,0,200,60,163,771,0,0,14,51,78,367,13,70,48,193
finance,clean,283,12,0,frame,base,0,200,60,572,2784,0,0,0,0,385,2193,14,51,141,575
finance,leaf,283,12,600,frame,base,0,200,60,564,2803,0,0,0,0,373,1890,14,38,141,490
finance,full,283,12,0,frame,base,0,200,60,618,2839,0,0,26,138,368,1834,14,36,140,735
dashboard,clean,144,11,0,frame,after,0,200,60,607,3326,0,0,0,0,379,2532,14,62,120,644
dashboard,leaf,144,11,600,frame,after,0,200,60,573,2860,0,0,0,0,378,2308,14,47,121,590
dashboard,full,144,11,0,frame,after,0,200,60,626,3460,0,0,17,103,361,2766,14,42,120,621
agent,clean,67,12,0,frame,after,0,200,60,154,806,0,0,0,0,82,473,14,52,54,242
agent,leaf,67,12,600,frame,after,0,200,60,157,711,0,0,0,0,81,380,13,40,54,225
agent,full,67,12,0,frame,after,0,200,60,181,1036,0,0,7,30,92,696,13,37,54,164
files,clean,152,11,0,frame,after,0,200,60,182,1263,0,0,0,0,99,646,13,47,64,336
files,leaf,152,11,600,frame,after,0,200,60,188,1168,0,0,0,0,99,714,13,67,65,270
files,full,152,11,0,frame,after,0,200,60,281,1473,0,0,36,191,124,834,13,54,65,263
editor,clean,42,20,0,frame,after,0,200,60,154,931,0,0,0,0,79,572,14,79,48,224
editor,leaf,42,20,600,frame,after,0,200,60,154,1168,0,0,0,0,79,650,13,86,48,264
editor,full,42,20,0,frame,after,0,200,60,179,1003,0,0,17,112,79,432,13,84,48,180
finance,clean,283,12,0,frame,after,0,200,60,562,3095,0,0,0,0,380,2394,14,37,144,693
finance,leaf,283,12,600,frame,after,0,200,60,568,2533,0,0,0,0,381,1709,14,36,144,516
finance,full,283,12,0,frame,after,0,200,60,616,2794,0,0,26,130,373,1956,14,37,144,492
dashboard,clean,144,11,0,frame,after,1,80,24,131,354,0,0,0,0,98,286,2,5,30,40
dashboard,leaf,144,11,600,frame,after,1,80,24,132,456,0,0,0,0,98,291,2,4,30,60
dashboard,full,144,11,0,frame,after,1,80,24,151,477,0,0,6,16,98,316,2,3,30,48
agent,clean,67,12,0,frame,after,1,80,24,39,67,0,0,0,0,22,40,1,3,15,17
agent,leaf,67,12,600,frame,after,1,80,24,39,62,0,0,0,0,21,30,1,3,15,17
agent,full,67,12,0,frame,after,1,80,24,52,102,0,0,2,8,28,46,1,2,15,16
files,clean,152,11,0,frame,after,1,80,24,50,96,0,0,0,0,29,53,1,2,18,20
files,leaf,152,11,600,frame,after,1,80,24,51,102,0,0,0,0,29,50,1,2,18,21
files,full,152,11,0,frame,after,1,80,24,101,199,0,0,20,35,47,79,1,2,19,21
editor,clean,42,20,0,frame,after,1,80,24,36,47,0,0,0,0,21,25,1,2,12,13
editor,leaf,42,20,600,frame,after,1,80,24,36,51,0,0,0,0,21,25,1,2,12,14
editor,full,42,20,0,frame,after,1,80,24,44,66,0,0,4,10,21,26,1,2,12,13
finance,clean,143,12,0,frame,after,1,80,24,82,210,0,0,0,0,54,157,1,7,25,39
finance,leaf,143,12,600,frame,after,1,80,24,82,193,0,0,0,0,54,135,2,7,26,28
finance,full,143,12,0,frame,after,1,80,24,101,245,0,0,5,16,54,131,1,7,26,28
dashboard,clean,144,11,0,frame,base,1,80,24,128,255,0,0,0,0,96,208,2,5,30,33
dashboard,leaf,144,11,600,frame,base,1,80,24,129,253,0,0,0,0,95,202,2,4,30,44
dashboard,full,144,11,0,frame,base,1,80,24,147,283,0,0,6,13,96,194,1,4,30,36
agent,clean,67,12,0,frame,base,1,80,24,39,80,0,0,0,0,22,36,2,3,15,16
agent,leaf,67,12,600,frame,base,1,80,24,40,112,0,0,0,0,22,48,2,2,15,19
agent,full,67,12,0,frame,base,1,80,24,53,163,0,0,3,9,29,69,2,2,15,16
files,clean,152,11,0,frame,base,1,80,24,51,107,0,0,0,0,30,48,2,8,19,21
files,leaf,152,11,600,frame,base,1,80,24,51,103,0,0,0,0,29,46,2,2,19,24
files,full,152,11,0,frame,base,1,80,24,102,262,0,0,20,44,47,101,1,4,19,22
editor,clean,42,20,0,frame,base,1,80,24,35,56,0,0,0,0,21,25,1,2,12,13
editor,leaf,42,20,600,frame,base,1,80,24,36,47,0,0,0,0,21,24,1,2,12,13
editor,full,42,20,0,frame,base,1,80,24,43,61,0,0,4,10,21,23,1,2,12,13
finance,clean,143,12,0,frame,base,1,80,24,81,181,0,0,0,0,53,117,2,2,25,41
finance,leaf,143,12,600,frame,base,1,80,24,82,150,0,0,0,0,53,92,2,2,26,29
finance,full,143,12,0,frame,base,1,80,24,100,206,0,0,5,13,53,108,1,2,26,28
dashboard,clean,144,11,0,frame,after,1,120,40,223,457,0,0,0,0,162,362,4,12,55,72
dashboard,leaf,144,11,600,frame,after,1,120,40,224,454,0,0,0,0,162,354,4,10,56,79
dashboard,full,144,11,0,frame,after,1,120,40,243,527,0,0,6,16,162,362,4,11,55,79
agent,clean,67,12,0,frame,after,1,120,40,65,125,0,0,0,0,36,75,4,21,24,28
agent,leaf,67,12,600,frame,after,1,120,40,66,116,0,0,0,0,36,64,4,15,24,30
agent,full,67,12,0,frame,after,1,120,40,80,148,0,0,3,10,43,74,4,13,24,35
files,clean,152,11,0,frame,after,1,120,40,82,122,0,0,0,0,46,72,4,18,30,32
files,leaf,152,11,600,frame,after,1,120,40,82,131,0,0,0,0,46,74,4,7,30,39
files,full,152,11,0,frame,after,1,120,40,133,238,0,0,20,40,64,103,4,6,30,35
editor,clean,42,20,0,frame,after,1,120,40,60,96,0,0,0,0,34,51,4,20,21,23
editor,leaf,42,20,600,frame,after,1,120,40,61,97,0,0,0,0,34,53,4,20,21,24
editor,full,42,20,0,frame,after,1,120,40,71,111,0,0,7,13,35,48,4,17,21,23
finance,clean,283,12,0,frame,after,1,120,40,202,392,0,0,0,0,135,294,4,9,61,79
finance,leaf,283,12,600,frame,after,1,120,40,203,374,0,0,0,0,136,295,4,7,61,76
finance,full,283,12,0,frame,after,1,120,40,244,470,0,0,12,29,137,299,4,5,61,94
dashboard,clean,144,11,0,frame,base,1,120,40,223,480,0,0,0,0,162,370,4,13,55,99
dashboard,leaf,144,11,600,frame,base,1,120,40,225,494,0,0,0,0,162,409,4,13,56,87
dashboard,full,144,11,0,frame,base,1,120,40,245,529,0,0,7,16,162,390,4,11,55,82
agent,clean,67,12,0,frame,base,1,120,40,65,136,0,0,0,0,36,67,4,8,24,44
agent,leaf,67,12,600,frame,base,1,120,40,66,137,0,0,0,0,36,62,4,12,24,40
agent,full,67,12,0,frame,base,1,120,40,80,179,0,0,3,11,43,95,4,7,24,37
files,clean,152,11,0,frame,base,1,120,40,81,133,0,0,0,0,46,71,4,15,30,32
files,leaf,152,11,600,frame,base,1,120,40,82,132,0,0,0,0,46,74,4,6,30,34
files,full,152,11,0,frame,base,1,120,40,132,257,0,0,20,45,64,116,4,6,31,33
editor,clean,42,20,0,frame,base,1,120,40,62,130,0,0,0,0,35,58,4,22,21,28
editor,leaf,42,20,600,frame,base,1,120,40,62,138,0,0,0,0,35,60,4,20,21,34
editor,full,42,20,0,frame,base,1,120,40,72,156,0,0,7,18,35,66,4,20,21,24
finance,clean,283,12,0,frame,base,1,120,40,204,442,0,0,0,0,137,337,4,12,61,90
finance,leaf,283,12,600,frame,base,1,120,40,206,427,0,0,0,0,137,328,4,11,61,93
finance,full,283,12,0,frame,base,1,120,40,247,546,0,0,12,32,137,342,4,8,61,116
dashboard,clean,144,11,0,frame,after,1,200,60,381,657,0,0,0,0,265,513,11,26,100,148
dashboard,leaf,144,11,600,frame,after,1,200,60,384,644,0,0,0,0,266,497,11,25,101,141
dashboard,full,144,11,0,frame,after,1,200,60,403,728,0,0,7,19,266,524,11,23,100,135
agent,clean,67,12,0,frame,after,1,200,60,125,168,0,0,0,0,67,97,11,31,45,48
agent,leaf,67,12,600,frame,after,1,200,60,126,169,0,0,0,0,67,81,11,28,45,51
agent,full,67,12,0,frame,after,1,200,60,140,234,0,0,2,9,75,107,11,28,46,51
files,clean,152,11,0,frame,after,1,200,60,149,240,0,0,0,0,82,127,11,33,54,75
files,leaf,152,11,600,frame,after,1,200,60,150,220,0,0,0,0,82,119,11,30,54,60
files,full,152,11,0,frame,after,1,200,60,203,309,0,0,20,37,100,152,11,26,55,63
editor,clean,42,20,0,frame,after,1,200,60,119,166,0,0,0,0,65,88,11,34,41,50
editor,leaf,42,20,600,frame,after,1,200,60,119,197,0,0,0,0,65,98,11,33,41,64
editor,full,42,20,0,frame,after,1,200,60,132,198,0,0,9,18,66,92,11,32,41,49
finance,clean,283,12,0,frame,after,1,200,60,424,809,0,0,0,0,288,588,11,25,121,186
finance,leaf,283,12,600,frame,after,1,200,60,425,678,0,0,0,0,287,493,11,24,120,172
finance,full,283,12,0,frame,after,1,200,60,465,762,0,0,14,30,287,473,11,20,120,160
dashboard,clean,144,11,0,frame,base,1,200,60,387,812,0,0,0,0,269,599,12,26,103,177
dashboard,leaf,144,11,600,frame,base,1,200,60,389,756,0,0,0,0,269,573,12,25,103,178
dashboard,full,144,11,0,frame,base,1,200,60,411,724,0,0,8,18,270,531,12,23,103,155
agent,clean,67,12,0,frame,base,1,200,60,130,180,0,0,0,0,70,93,12,31,47,50
agent,leaf,67,12,600,frame,base,1,200,60,130,196,0,0,0,0,70,96,12,30,47,60
agent,full,67,12,0,frame,base,1,200,60,145,267,0,0,3,11,77,169,12,29,47,53
files,clean,152,11,0,frame,base,1,200,60,153,262,0,0,0,0,84,127,12,34,56,69
files,leaf,152,11,600,frame,base,1,200,60,154,253,0,0,0,0,84,124,12,31,56,77
files,full,152,11,0,frame,base,1,200,60,206,386,0,0,21,43,102,168,12,27,57,71
editor,clean,42,20,0,frame,base,1,200,60,121,174,0,0,0,0,67,87,11,34,42,44
editor,leaf,42,20,600,frame,base,1,200,60,122,171,0,0,0,0,67,96,11,33,42,46
editor,full,42,20,0,frame,base,1,200,60,134,195,0,0,9,18,67,84,11,32,42,45
finance,clean,283,12,0,frame,base,1,200,60,431,808,0,0,0,0,291,600,12,25,122,171
finance,leaf,283,12,600,frame,base,1,200,60,436,708,0,0,0,0,294,499,12,24,122,162
finance,full,283,12,0,frame,base,1,200,60,476,782,0,0,16,29,292,505,12,20,122,160
dashboard,clean,144,11,0,frame,base,2,80,24,130,316,0,0,0,0,97,267,2,5,30,52
dashboard,leaf,144,11,600,frame,base,2,80,24,132,392,0,0,0,0,97,306,2,5,30,39
dashboard,full,144,11,0,frame,base,2,80,24,151,439,0,0,6,18,98,319,2,4,30,56
agent,clean,67,12,0,frame,base,2,80,24,40,119,0,0,0,0,22,66,2,4,15,24
agent,leaf,67,12,600,frame,base,2,80,24,40,118,0,0,0,0,22,56,2,5,15,18
agent,full,67,12,0,frame,base,2,80,24,54,170,0,0,3,10,29,84,2,5,15,17
files,clean,152,11,0,frame,base,2,80,24,51,116,0,0,0,0,30,61,2,8,19,22
files,leaf,152,11,600,frame,base,2,80,24,52,132,0,0,0,0,30,75,2,7,19,29
files,full,152,11,0,frame,base,2,80,24,104,292,0,0,21,44,48,126,2,6,20,38
editor,clean,42,20,0,frame,base,2,80,24,37,291,0,0,0,0,22,131,2,9,13,71
editor,leaf,42,20,600,frame,base,2,80,24,38,264,0,0,0,0,22,116,2,9,13,58
editor,full,42,20,0,frame,base,2,80,24,46,246,0,0,5,35,22,95,2,8,13,43
finance,clean,143,12,0,frame,base,2,80,24,84,244,0,0,0,0,55,197,2,4,26,32
finance,leaf,143,12,600,frame,base,2,80,24,85,293,0,0,0,0,55,200,2,4,26,66
finance,full,143,12,0,frame,base,2,80,24,104,353,0,0,5,29,55,210,2,4,26,49
dashboard,clean,144,11,0,frame,after,2,80,24,134,457,0,0,0,0,100,325,2,7,30,79
dashboard,leaf,144,11,600,frame,after,2,80,24,135,408,0,0,0,0,100,324,2,6,31,65
dashboard,full,144,11,0,frame,after,2,80,24,156,505,0,0,7,19,101,375,2,6,30,62
agent,clean,67,12,0,frame,after,2,80,24,40,124,0,0,0,0,22,54,2,5,15,21
agent,leaf,67,12,600,frame,after,2,80,24,41,122,0,0,0,0,22,53,2,5,15,34
agent,full,67,12,0,frame,after,2,80,24,55,142,0,0,3,11,30,66,2,4,15,20
files,clean,152,11,0,frame,after,2,80,24,52,140,0,0,0,0,30,83,2,7,19,32
files,leaf,152,11,600,frame,after,2,80,24,52,168,0,0,0,0,30,93,2,6,19,40
files,full,152,11,0,frame,after,2,80,24,106,286,0,0,21,59,49,136,2,5,20,28
editor,clean,42,20,0,frame,after,2,80,24,37,120,0,0,0,0,22,64,2,8,13,29
editor,leaf,42,20,600,frame,after,2,80,24,38,110,0,0,0,0,22,57,2,7,13,24
editor,full,42,20,0,frame,after,2,80,24,46,152,0,0,5,16,22,64,2,8,13,33
finance,clean,143,12,0,frame,after,2,80,24,84,402,0,0,0,0,56,276,2,8,26,75
finance,leaf,143,12,600,frame,after,2,80,24,85,449,0,0,0,0,55,299,2,8,26,82
finance,full,143,12,0,frame,after,2,80,24,106,504,0,0,6,27,56,251,2,6,26,85
dashboard,clean,144,11,0,frame,base,2,120,40,230,817,0,0,0,0,167,654,5,13,56,146
dashboard,leaf,144,11,600,frame,base,2,120,40,234,859,0,0,0,0,168,586,5,14,57,161
dashboard,full,144,11,0,frame,base,2,120,40,257,932,0,0,9,30,167,647,5,12,56,165
agent,clean,67,12,0,frame,base,2,120,40,66,115,0,0,0,0,36,59,4,11,24,34
agent,leaf,67,12,600,frame,base,2,120,40,67,117,0,0,0,0,36,54,4,13,24,28
agent,full,67,12,0,frame,base,2,120,40,81,154,0,0,3,10,44,75,4,13,24,27
files,clean,152,11,0,frame,base,2,120,40,84,249,0,0,0,0,48,148,4,7,30,47
files,leaf,152,11,600,frame,base,2,120,40,85,252,0,0,0,0,47,133,4,6,31,70
files,full,152,11,0,frame,base,2,120,40,138,650,0,0,21,79,66,258,4,8,31,86
editor,clean,42,20,0,frame,base,2,120,40,63,202,0,0,0,0,36,120,4,21,21,25
editor,leaf,42,20,600,frame,base,2,120,40,63,154,0,0,0,0,36,66,4,16,21,27
editor,full,42,20,0,frame,base,2,120,40,73,202,0,0,7,18,36,68,4,15,21,40
finance,clean,283,12,0,frame,base,2,120,40,224,1246,0,0,0,0,149,1019,5,14,63,217
finance,leaf,283,12,600,frame,base,2,120,40,227,1182,0,0,0,0,147,951,5,13,64,250
finance,full,283,12,0,frame,base,2,120,40,283,1417,0,0,19,115,153,1023,5,10,63,263
dashboard,clean,144,11,0,frame,after,2,120,40,236,875,0,0,0,0,170,689,5,15,57,160
dashboard,leaf,144,11,600,frame,after,2,120,40,240,985,0,0,0,0,170,611,5,13,57,165
dashboard,full,144,11,0,frame,after,2,120,40,262,1108,0,0,10,34,171,819,5,12,57,177
agent,clean,67,12,0,frame,after,2,120,40,66,230,0,0,0,0,37,129,4,15,24,57
agent,leaf,67,12,600,frame,after,2,120,40,67,224,0,0,0,0,37,131,4,14,24,68
agent,full,67,12,0,frame,after,2,120,40,82,366,0,0,3,14,44,157,4,14,24,59
files,clean,152,11,0,frame,after,2,120,40,83,240,0,0,0,0,47,145,4,15,30,46
files,leaf,152,11,600,frame,after,2,120,40,84,182,0,0,0,0,47,88,4,7,30,36
files,full,152,11,0,frame,after,2,120,40,139,328,0,0,21,49,65,149,4,10,31,37
editor,clean,42,20,0,frame,after,2,120,40,63,375,0,0,0,0,36,184,4,21,21,66
editor,leaf,42,20,600,frame,after,2,120,40,64,389,0,0,0,0,36,144,4,21,22,65
editor,full,42,20,0,frame,after,2,120,40,74,467,0,0,7,34,36,199,4,19,21,65
finance,clean,283,12,0,frame,after,2,120,40,211,628,0,0,0,0,142,407,4,12,63,89
finance,leaf,283,12,600,frame,after,2,120,40,212,532,0,0,0,0,141,376,4,12,63,105
finance,full,283,12,0,frame,after,2,120,40,256,786,0,0,13,45,143,447,4,9,63,102
dashboard,clean,144,11,0,frame,base,2,200,60,407,1520,0,0,0,0,281,952,12,27,104,265
dashboard,leaf,144,11,600,frame,base,2,200,60,414,1193,0,0,0,0,285,924,12,28,105,281
dashboard,full,144,11,0,frame,base,2,200,60,438,1295,0,0,11,35,284,987,12,25,104,260
agent,clean,67,12,0,frame,base,2,200,60,134,485,0,0,0,0,72,250,12,36,48,145
agent,leaf,67,12,600,frame,base,2,200,60,134,446,0,0,0,0,71,243,12,32,48,130
agent,full,67,12,0,frame,base,2,200,60,151,594,0,0,4,22,80,310,12,33,48,120
files,clean,152,11,0,frame,base,2,200,60,157,526,0,0,0,0,87,316,12,35,57,136
files,leaf,152,11,600,frame,base,2,200,60,158,451,0,0,0,0,86,277,12,33,57,136
files,full,152,11,0,frame,base,2,200,60,217,729,0,0,24,85,105,359,12,29,57,139
editor,clean,42,20,0,frame,base,2,200,60,123,255,0,0,0,0,68,121,12,36,42,66
editor,leaf,42,20,600,frame,base,2,200,60,123,221,0,0,0,0,68,116,12,35,42,57
editor,full,42,20,0,frame,base,2,200,60,137,269,0,0,10,22,68,124,12,34,42,58
finance,clean,283,12,0,frame,base,2,200,60,446,1205,0,0,0,0,301,949,12,25,124,213
finance,leaf,283,12,600,frame,base,2,200,60,453,1238,0,0,0,0,302,961,12,24,124,237
finance,full,283,12,0,frame,base,2,200,60,495,1155,0,0,18,43,299,615,12,19,124,248
dashboard,clean,144,11,0,frame,after,2,200,60,410,1383,0,0,0,0,283,1084,12,28,104,254
dashboard,leaf,144,11,600,frame,after,2,200,60,415,1490,0,0,0,0,284,1131,12,27,105,289
dashboard,full,144,11,0,frame,after,2,200,60,438,1622,0,0,12,38,282,1152,12,25,105,275
agent,clean,67,12,0,frame,after,2,200,60,132,332,0,0,0,0,71,166,12,34,48,69
agent,leaf,67,12,600,frame,after,2,200,60,133,415,0,0,0,0,71,193,12,32,48,97
agent,full,67,12,0,frame,after,2,200,60,149,416,0,0,3,15,79,235,12,30,48,87
files,clean,152,11,0,frame,after,2,200,60,155,401,0,0,0,0,85,250,12,34,56,104
files,leaf,152,11,600,frame,after,2,200,60,156,369,0,0,0,0,85,224,12,32,56,82
files,full,152,11,0,frame,after,2,200,60,214,537,0,0,23,68,104,303,12,28,57,86
editor,clean,42,20,0,frame,after,2,200,60,125,310,0,0,0,0,68,176,12,36,42,81
editor,leaf,42,20,600,frame,after,2,200,60,125,373,0,0,0,0,68,207,12,35,43,121
editor,full,42,20,0,frame,after,2,200,60,140,413,0,0,10,41,69,161,12,36,42,124
finance,clean,283,12,0,frame,after,2,200,60,443,975,0,0,0,0,301,707,12,25,123,225
finance,leaf,283,12,600,frame,after,2,200,60,447,1046,0,0,0,0,302,760,12,25,123,262
finance,full,283,12,0,frame,after,2,200,60,489,1135,0,0,17,41,301,693,12,21,123,227
