kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run
plain,spec,False,1000,open,60,60,0,1830451483,2284,4248,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,rebuild-same,60,0,0,1830451483,89,437,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,rebuild-equal,60,0,0,1830451483,97,431,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,edit,60,60,0,37686951,3424,7055,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,resize,60,60,0,1830451483,573,1540,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,drag,60,60,0,1797951353,89,277,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,copy,60,0,16730,4053437227,95,196,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,1000,copy-all,60,0,5109930,2704721301,134,490,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,open,60,60,0,1830451483,42247,80140,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,rebuild-same,60,0,0,1830451483,94,105,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,rebuild-equal,60,0,0,1830451483,91,973,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,edit,60,60,0,37686951,50050,75127,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,resize,60,60,0,1830451483,41826,60648,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,drag,60,60,0,2724726841,124,806,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,copy,60,0,16730,1404687173,192,4430,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,copy-all,60,0,51099930,3813876293,1435,4806,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,True,10000,open,60,60,0,1830451483,50782,102709,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,rebuild-same,60,0,0,1830451483,94,156,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,rebuild-equal,60,0,0,1830451483,93,257,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,edit,60,60,0,37686951,38784,51678,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,resize,60,60,0,1830451483,34967,44315,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,drag,60,60,0,2724726841,122,173,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,copy,60,0,16730,1404687173,163,230,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,10000,copy-all,60,0,51099930,3813876293,673,1903,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,open,60,60,0,1830451483,16232,26688,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,rebuild-same,60,0,0,1830451483,92,124,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,rebuild-equal,60,0,0,1830451483,103,257,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
