scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-16-keyed-false,replace-subtree,120,468,643,120,structured,1359462507,2,after,67,2,7,249,67,25,6,140
board-16-keyed-true,one-label,120,129,249,120,structured,1359462507,2,after,26,0,6,66,33,13,4,7
board-16-keyed-true,all-labels,120,411,638,120,structured,1359462507,2,after,105,0,6,196,31,24,5,80
board-16-keyed-true,reverse,120,400,598,120,structured,1359462507,2,after,29,0,34,227,32,25,5,106
board-16-keyed-true,replace-subtree,120,396,1178,120,structured,1359462507,2,after,80,2,7,181,36,26,5,111
board-64-keyed-false,one-label,120,409,666,120,structured,251641503,2,after,35,0,35,302,244,16,18,7
board-64-keyed-false,all-labels,120,2930,5423,120,structured,251641503,2,after,1135,0,42,1446,253,52,23,351
board-64-keyed-false,reverse,120,2934,3294,120,structured,251641503,2,after,1120,5,92,1419,252,51,24,351
board-64-keyed-false,replace-subtree,120,1617,1928,120,structured,251641503,2,after,512,7,36,823,252,47,22,488
board-64-keyed-true,one-label,120,307,427,120,structured,251641503,2,after,81,0,33,163,118,16,16,6
board-64-keyed-true,all-labels,120,1420,1688,120,structured,251641503,2,after,425,0,34,709,122,47,20,291
board-64-keyed-true,reverse,120,1225,1486,120,structured,251641503,2,after,91,2,141,756,122,47,22,342
board-64-keyed-true,replace-subtree,120,1535,1899,120,structured,251641503,2,after,589,7,37,622,134,49,23,399
board-256-keyed-false,one-label,120,1391,1723,120,structured,251641503,2,after,108,0,114,1102,970,26,69,8
board-256-keyed-false,all-labels,120,17805,41393,120,structured,251641503,2,after,8862,0,150,8652,1066,68,114,1396
board-256-keyed-false,reverse,120,17602,20583,120,structured,251641503,2,after,8514,35,565,8267,1029,66,108,1364
board-256-keyed-false,replace-subtree,120,10995,12591,120,structured,251641503,2,after,7024,53,142,3493,1073,62,111,2152
board-256-keyed-true,one-label,120,1063,1565,120,structured,251641503,2,after,319,0,113,585,476,26,69,7
board-256-keyed-true,all-labels,120,5016,5714,120,structured,251641503,2,after,1817,0,120,2700,497,60,90,1074
board-256-keyed-true,reverse,120,2551,3176,120,structured,251641503,2,after,395,12,265,1566,499,62,85,597
board-256-keyed-true,replace-subtree,120,9974,10966,120,structured,251641503,2,after,7117,43,135,2313,562,60,105,1552
board-16-keyed-false,one-label,120,124,185,120,structured,1359462507,2,coalesced,6,0,6,86,61,12,4,7
board-16-keyed-false,all-labels,120,317,423,120,structured,1359462507,2,coalesced,15,0,6,191,63,25,5,92
board-16-keyed-false,reverse,120,327,438,120,structured,1359462507,2,coalesced,15,1,6,194,64,25,5,94
board-16-keyed-false,replace-subtree,120,446,574,120,structured,1359462507,2,coalesced,65,2,6,239,65,25,6,136
board-16-keyed-true,one-label,120,107,151,120,structured,1359462507,2,coalesced,20,0,6,55,31,12,4,6
board-16-keyed-true,all-labels,120,281,366,120,structured,1359462507,2,coalesced,28,0,6,142,32,24,5,80
board-16-keyed-true,reverse,120,293,387,120,structured,1359462507,2,coalesced,22,0,6,164,31,24,5,101
board-16-keyed-true,replace-subtree,120,364,521,120,structured,1359462507,2,coalesced,75,2,6,170,33,24,5,105
board-64-keyed-false,one-label,120,388,548,120,structured,251641503,2,coalesced,21,0,34,293,249,16,18,7
board-64-keyed-false,all-labels,120,1040,1341,120,structured,251641503,2,coalesced,61,0,35,696,258,49,23,348
board-64-keyed-false,reverse,120,1030,1232,120,structured,251641503,2,coalesced,58,4,35,684,252,48,23,346
board-64-keyed-false,replace-subtree,120,1667,2013,120,structured,251641503,2,coalesced,529,7,37,841,255,48,23,508
board-64-keyed-true,one-label,120,308,432,120,structured,251641503,2,coalesced,78,0,33,163,122,16,17,6
board-64-keyed-true,all-labels,120,859,1074,120,structured,251641503,2,coalesced,115,0,33,483,124,47,20,289
board-64-keyed-true,reverse,120,917,1072,120,structured,251641503,2,coalesced,89,2,36,554,123,47,22,348
board-64-keyed-true,replace-subtree,120,1479,1813,120,structured,251641503,2,coalesced,596,7,37,589,131,47,21,388
board-256-keyed-false,one-label,120,1353,1577,120,structured,251641503,2,coalesced,80,0,118,1108,990,26,71,9
board-256-keyed-false,all-labels,120,3143,3790,120,structured,251641503,2,coalesced,241,0,119,2528,1010,61,98,1330
board-256-keyed-false,reverse,120,3200,3598,120,structured,251641503,2,coalesced,242,25,119,2528,1013,61,99,1324
board-256-keyed-false,replace-subtree,120,10975,12175,120,structured,251641503,2,coalesced,6990,51,148,3490,1092,62,114,2166
board-256-keyed-true,one-label,120,1049,1459,120,structured,251641503,2,coalesced,312,0,114,588,479,26,70,7
board-256-keyed-true,all-labels,120,2582,3089,120,structured,251641503,2,coalesced,475,0,115,1730,502,59,87,1054
board-256-keyed-true,reverse,120,1937,2387,120,structured,251641503,2,coalesced,351,10,119,1192,487,58,78,555
board-256-keyed-true,replace-subtree,120,10070,11055,120,structured,251641503,2,coalesced,7208,48,139,2278,544,60,106,1543
