scenario,mode,iterations,medianUs,p95Us,changedFrames,pair,variant
files,mount-first-frame,120,301,462,120,2,semantic
editor,mount-first-frame,120,138,202,120,2,semantic
finance,mount-first-frame,120,25012,27234,120,2,semantic
board-16-keyed-false,one-label,120,31,41,120,2,semantic
board-16-keyed-false,all-labels,120,39,47,120,2,semantic
board-16-keyed-false,reverse,120,42,61,120,2,semantic
board-16-keyed-false,replace-subtree,120,101,167,120,2,semantic
board-16-keyed-true,one-label,120,45,61,120,2,semantic
board-16-keyed-true,all-labels,120,53,71,120,2,semantic
board-16-keyed-true,reverse,120,49,83,120,2,semantic
board-16-keyed-true,replace-subtree,120,115,238,120,2,semantic
board-64-keyed-false,one-label,120,76,124,120,2,semantic
board-64-keyed-false,all-labels,120,109,189,120,2,semantic
board-64-keyed-false,reverse,120,117,165,120,2,semantic
board-64-keyed-false,replace-subtree,120,580,931,120,2,semantic
board-64-keyed-true,one-label,120,135,242,120,2,semantic
board-64-keyed-true,all-labels,120,166,229,120,2,semantic
board-64-keyed-true,reverse,120,151,194,120,2,semantic
board-64-keyed-true,replace-subtree,120,641,902,120,2,semantic
board-256-keyed-false,one-label,120,233,345,120,2,semantic
board-256-keyed-false,all-labels,120,345,415,120,2,semantic
board-256-keyed-false,reverse,120,381,502,120,2,semantic
board-256-keyed-false,replace-subtree,120,6919,7757,120,2,semantic
board-256-keyed-true,one-label,120,449,569,120,2,semantic
board-256-keyed-true,all-labels,120,598,805,120,2,semantic
board-256-keyed-true,reverse,120,506,775,120,2,semantic
board-256-keyed-true,replace-subtree,120,7189,8144,120,2,semantic
