kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,False,1000,rebuild-equal,50,0,0,1830451483,79,94,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,edit,50,50,0,37686951,1464,1661,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,resize,50,50,0,1830451483,105,120,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,drag,50,50,0,1797951353,77,89,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,copy,50,0,14340,4053437227,82,85,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,copy-all,50,0,4379940,2704721301,114,150,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,False,1000,open,50,50,0,1830451483,1446,1634,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,rebuild-same,50,0,0,1830451483,82,92,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,rebuild-equal,50,0,0,1830451483,76,95,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,edit,50,50,0,37686951,1459,1596,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,resize,50,50,0,1830451483,393,494,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,drag,50,50,0,1797951353,84,90,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,False,1000,copy,50,0,14340,4053437227,83,98,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
