variant,run,kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart
after,1,rich,spec,True,1000,edit,60,60,0,2284405263,6995,8885,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,resize,60,60,0,3858414627,3415,3831,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,drag,60,60,0,3831988741,103,136,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,copy,60,0,16730,2752129767,103,121,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,1000,copy-all,60,0,5109930,549569285,150,191,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,open,30,30,0,3858414627,71039,80902,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,rebuild-same,30,0,0,3858414627,98,121,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,rebuild-equal,30,0,0,3858414627,99,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,edit,30,30,0,2284405263,76515,90258,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,resize,30,30,0,3858414627,38474,55798,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,drag,30,30,0,2060027205,124,137,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,copy,30,0,9560,2685947361,180,249,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,10000,copy-all,30,0,29199960,1844308149,882,1360,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,open,30,30,0,3858414627,66969,74648,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,rebuild-same,30,0,0,3858414627,96,108,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,rebuild-equal,30,0,0,3858414627,103,168,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,edit,30,30,0,2284405263,68192,78202,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,resize,30,30,0,3858414627,36639,39424,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,drag,30,30,0,2060027205,124,142,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,copy,30,0,9560,2685947361,179,188,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,10000,copy-all,30,0,29199960,1844308149,700,1828,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,open,60,60,0,3858414627,395,644,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,rebuild-same,60,0,0,3858414627,98,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,rebuild-equal,60,0,0,3858414627,101,145,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,edit,60,60,0,2284405263,374,538,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,resize,60,60,0,3858414627,260,309,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,drag,60,60,0,2239105707,103,108,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,copy,60,0,16730,675705227,102,152,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,spec,True,50,copy-all,60,0,255430,1863551171,118,169,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,open,60,60,0,3858414627,364,505,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,rebuild-same,60,0,0,3858414627,99,104,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,rebuild-equal,60,0,0,3858414627,101,131,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,edit,60,60,0,2284405263,364,448,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,resize,60,60,0,3858414627,252,271,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,drag,60,60,0,2239105707,100,115,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
